This is the global view of the Routers and the links attached to them along with their cost.
Each entry in the list corresponds to router number and link cost respectively.

Router 1: [(2, 6), (3, 4), (4, 4), (5, 9), (6, 5), (7, 7), (8, 8), (9, 2), (10, 1), (11, 3), (12, 10), (13, 6), (14, 10), (15, 8)]
Router 2: [(1, 6), (3, 5), (4, 4), (5, 10), (6, 6), (7, 5), (8, 10), (9, 10), (10, 3), (11, 7), (12, 1), (13, 3), (14, 3), (15, 9)]
Router 3: [(1, 4), (2, 5), (4, 3), (5, 5), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 10), (12, 8), (13, 8), (14, 1), (15, 10)]
Router 4: [(1, 4), (2, 4), (3, 3), (5, 9), (6, 4), (7, 10), (8, 2), (9, 2), (10, 5), (11, 10), (12, 4), (13, 10), (14, 4), (15, 1)]
Router 5: [(1, 9), (2, 10), (3, 5), (4, 9), (6, 4), (7, 5), (8, 8), (9, 1), (10, 10), (11, 0), (12, 0), (13, 10), (14, 2), (15, 6)]
Router 6: [(1, 5), (2, 6), (3, 4), (4, 4), (5, 4), (7, 10), (8, 2), (9, 5), (10, 7), (11, 6), (12, 2), (13, 6), (14, 5), (15, 10)]
Router 7: [(1, 7), (2, 5), (3, 4), (4, 10), (5, 5), (6, 10), (8, 8), (9, 10), (10, 6), (11, 8), (12, 5), (13, 7), (14, 6), (15, 5)]
Router 8: [(1, 8), (2, 10), (3, 4), (4, 2), (5, 8), (6, 2), (7, 8), (9, 5), (10, 10), (11, 10), (12, 7), (13, 9), (14, 5), (15, 8)]
Router 9: [(1, 2), (2, 10), (3, 4), (4, 2), (5, 1), (6, 5), (7, 10), (8, 5), (10, 0), (11, 0), (12, 6), (13, 10), (14, 0), (15, 7)]
Router 10: [(1, 1), (2, 3), (3, 4), (4, 5), (5, 10), (6, 7), (7, 6), (8, 10), (9, 0), (11, 6), (12, 2), (13, 10), (14, 4), (15, 9)]
Router 11: [(1, 3), (2, 7), (3, 10), (4, 10), (5, 0), (6, 6), (7, 8), (8, 10), (9, 0), (10, 6), (12, 0), (13, 8), (14, 8), (15, 4)]
Router 12: [(1, 10), (2, 1), (3, 8), (4, 4), (5, 0), (6, 2), (7, 5), (8, 7), (9, 6), (10, 2), (11, 0), (13, 5), (14, 7), (15, 2)]
Router 13: [(1, 6), (2, 3), (3, 8), (4, 10), (5, 10), (6, 6), (7, 7), (8, 9), (9, 10), (10, 10), (11, 8), (12, 5), (14, 6), (15, 1)]
Router 14: [(1, 10), (2, 3), (3, 1), (4, 4), (5, 2), (6, 5), (7, 6), (8, 5), (9, 0), (10, 4), (11, 8), (12, 7), (13, 6), (15, 9)]
Router 15: [(1, 8), (2, 9), (3, 10), (4, 1), (5, 6), (6, 10), (7, 5), (8, 8), (9, 7), (10, 9), (11, 4), (12, 2), (13, 1), (14, 9)]
